dataset_key	title	family	NumeroEspeciesFamilia	doi	type	sub_type	hosting_organization_key	hosting_organization_title	hosting_country	publishing_organization_key	publishing_organization_title	publishing_country	endorsing_node_key	network_keys	project_identifier	occurrence_records_count	name_usages_count
ac606962-888a-4d15-9e3a-4ae7d2847843	Listado de las especies de Ceutorhynchinae (Coleoptera: Curculionidae) de Colombia	Ceutorhynchinae	8	https://doi.org/10.15472/qvrulo	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	24
eb7eec0b-fb6b-4a2d-b1e6-bf6589778c05	Listado de las especies de Orphninae (Coleoptera: Scarabaeidae) de Colombia	Orphninae	12	https://doi.org/10.15472/0msljd	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	23
498b3b23-1d9f-45e3-9fe7-837e22b5a2b6	Listado de las especies de Callirhipidae (Coleoptera: Byrrhoidea) de Colombia	Callirhipidae	4	https://doi.org/10.15472/elddwn	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	14
3263fdae-64f4-4cae-b788-d06813b2ed2f	Listado de las especies de Melandryidae (Coleoptera: Tenebrionoidea) de Colombia	Melandryidae	2	https://doi.org/10.15472/3eiijl	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	15
46a8fe24-d5ad-4b25-b103-752f76cb980b	Listado de las especies de Anamorphidae (Coleoptera: Coccinelloidea) de Colombia	Anamorphidae	3	https://doi.org/10.15472/hxxkei	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	11
a3d398f7-33f5-4269-81f0-07858eb075ce	Listado de las especies de Psephenidae (Coleoptera: Byrrhoidea) de Colombia	Psephenidae	1	https://doi.org/10.15472/6mzbwp	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	11
90ef4442-b762-4fbd-a8c2-d766aa104957	Listado de las especies de Scirtidae (Coleoptera: Scirtoidea) de Colombia	Scirtidae	2	https://doi.org/10.15472/bw5o1u	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	11
8ec57b2d-a021-45dc-be7d-bdad0c5cc871	Listado de las especies de Archeocrypticidae (Coleoptera: Tenebrionoidea) de Colombia	Archeocrypticidae	1	https://doi.org/10.15472/vfcq3h	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	9
adf9c956-a6e3-4362-8c68-575e8f8777cf	Listado de las especies de Aderidae (Coleoptera: Tenebrionoidea) de Colombia	Aderidae	2	https://doi.org/10.15472/bo97af	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	12
a89e758d-a0ae-4f55-b32c-01bfb2d292ec	Listado de las especies de Epimetopidae (Coleoptera: Hydrophiloidea) de Colombia	Epimetopidae	2	https://doi.org/10.15472/wqyqbs	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	11
49d42f33-175e-47b7-9059-60d5b7da5f2a	Listado de las especies de Haliplidae (Coleoptera: Adephaga) de Colombia	Haliplidae	5	https://doi.org/10.15472/pgwexm	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	13
f822c473-fea5-467c-93ca-3f09befd9817	Listado de las especies de Heteroceridae (Coleoptera: Byrrhoidea) de Colombia	Heteroceridae	1	https://doi.org/10.15472/4ymj2e	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	9
d89c2552-d615-4e81-87b3-ba96969c0acd	Listado de las especies de Ochodaeidae (Coleoptera: Scarabaeoidea) de Colombia	Ochodaeidae	2	https://doi.org/10.15472/mew1hc	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	11
e435cdaf-6c47-4f4c-8310-d056ad5fb220	Listado de las especies de Cneoglossidae (Coleoptera: Byrrhoidea) de Colombia	Cneoglossidae	1	https://doi.org/10.15472/rsgvlo	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	7
a6be5f0b-d059-4876-ba6a-b991c7b2c3e7	Listado de las especies de Lutrochidae (Coleoptera: Byrrhoidea) de Colombia	Lutrochidae	1	https://doi.org/10.15472/5w8sxt	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	6
60b6c152-fa0f-40f5-ad97-e58f43f69bb5	Listado de las especies de Georissidae (Coleoptera: Hydrophiloidea) de Colombia	Georissidae	1	https://doi.org/10.15472/bdcxbe	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	6
0421eea7-58fe-4ed1-b15f-6a1d2a669c39	Listado de las especies de Hydrochidae (Coleoptera: Hydrophiloidea) de Colombia	Hydrochidae	1	https://doi.org/10.15472/3uxhlf	CHECKLIST		c4f66525-4d36-4c18-82ac-98e088f54db4	Sistema de Información sobre Biodiversidad de Colombia - SiB	CO	2c39be5c-c11e-46d0-bcb4-552f2072d19f	Coleoptera de Colombia	CO	7e865cba-7c46-417b-ade5-97f2cf5b7be0			0	8
